z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Sharpe,Drawdown
Caro (1.5 a 2.5),228,1.6988183010491649,1.269269725634714,0.0495335787458548,59.66386554621849,34.29629576068202,1.64928472230331
Muito Caro (>2.5),13,-4.311150743922688,-6.157978326906344,0.0593708210627866,30.76923076923077,-72.61396413483216,-4.370521564985475
Muito Barato (<-2.5),15,4.508663191656337,-5.923339534985727,0.2208132509016241,33.33333333333333,20.418444784577606,4.287849940754713
Barato (-2.5 a -1.5),157,-0.1838227261527119,-3.561829642406511,0.135885709048904,42.6751592356688,-1.3527745197530763,-0.3197084352016159
Leve Desc (-1.5 a -0.5),363,-2.0799027659486096,-2.803743037954753,0.0809797113240303,34.645669291338585,-25.68424493317704,-2.16088247727264
Neutro,172,-1.826649196215015,-3.710029000417276,0.1011192995338946,40.80459770114943,-18.064298176219413,-1.9277684957489096
Leve Premio (0.5 a 1.5),129,-5.522504538427705,-7.040865766766869,0.1001011755836868,31.782945736434108,-55.169227045106396,-5.622605714011391
Caro (1.5 a 2.5),54,-1.1059650494735205,-4.10261849537768,0.1022730954978457,44.44444444444444,-10.813841443598188,-1.2082381449713662
Muito Caro (>2.5),14,-4.447806898545357,-4.234903638782011,0.0795054510237896,28.57142857142857,-55.94342004639488,-4.527312349569147
Muito Barato (<-2.5),4,15.105798126656678,17.725255725937384,0.1246212512423204,75.0,121.21366022934944,14.981176875414357
Barato (-2.5 a -1.5),147,3.0830400708413133,1.1403517482531544,0.1307718195350863,55.10204081632652,23.575721881260563,2.952268251306227
Leve Desc (-1.5 a -0.5),458,-1.28720031866983,-1.7575201684231934,0.1162502907544072,39.26247288503254,-11.072663124056465,-1.4034506094242372
Neutro,160,1.228394724982374,0.7434638741509958,0.1518493602384323,48.5207100591716,8.089561358467364,1.0765453647439416
Leve Premio (0.5 a 1.5),79,-6.015396287978428,-6.189668054441466,0.133202375498997,27.710843373493976,-45.15982706977997,-6.148598663477425
Caro (1.5 a 2.5),32,-0.404515019867862,-4.147643628193976,0.1467279887034406,30.55555555555556,-2.7569042599537275,-0.5512430085713026
Muito Caro (>2.5),24,-1.2334245559148032,-6.510333436640137,0.0936725666977592,41.66666666666667,-13.16740414220874,-1.3270971226125623
Muito Barato (<-2.5),19,-0.5444659173181359,0.0,0.1293017412736476,47.368421052631575,-4.210816557799013,-0.6737676585917834
Barato (-2.5 a -1.5),100,-2.332096550579068,-1.7078055283728633,0.1443914861525793,45.0,-16.151205286186496,-2.4764880367316473
Leve Desc (-1.5 a -0.5),412,-0.5570632754322907,-2.459390774519816,0.1644313446560237,44.07582938388626,-3.387816801047286,-0.7214946200883144
Neutro,169,-4.626724736789976,-6.191951904108195,0.1937975848224594,39.10614525139665,-23.87400605200821,-4.820522321612436
Leve Premio (0.5 a 1.5),145,-5.9666137928649965,-3.4782576245485752,0.1459119021796136,39.310344827586206,-40.89189204475152,-6.11252569504461
Caro (1.5 a 2.5),57,-5.077012303917307,-4.597696949511809,0.1444484835501592,31.57894736842105,-35.147563643385496,-5.221460787467467
Muito Caro (>2.5),2,1.5686110488070393,1.5686110488070393,0.0403922517379338,50.0,38.834453205277676,1.5282187970691055
Muito Barato (<-2.5),7,-0.5437820916610714,-3.6075196620993566,0.0599258109973619,28.57142857142857,-9.074254875094729,-0.6037079026584333
Barato (-2.5 a -1.5),57,3.858789067632016,3.1294601243173625,0.0889670236214063,61.40350877192983,43.373250752768854,3.7698220440106094
Leve Desc (-1.5 a -0.5),62,3.2663425851844146,0.6853611814748861,0.1057482527490677,59.67741935483871,30.887910385122662,3.160594332435347
Neutro,235,3.857860804644478,2.580194054541929,0.0677206170075583,70.2127659574468,56.96730062643407,3.7901401876369194
Leve Premio (0.5 a 1.5),331,2.180231122185659,2.775276461913489,0.0547015799015621,66.76737160120845,39.856821069012256,2.125529542284097
Caro (1.5 a 2.5),179,1.2912054560314696,0.6481497567239813,0.0691776499173998,52.22222222222223,18.66506651943426,1.22202780611407
