z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate
Muito Barato (<-2.5),15,0.9775701637847076,1.0067104428777007,0.03350033423085,73.33333333333333
Barato (-2.5 a -1.5),157,-0.5105667589327333,-0.7638885080103353,0.0621337339532447,43.31210191082803
Leve Desc (-1.5 a -0.5),376,-0.167549775460225,-0.499119644937962,0.0527633767852563,43.83202099737533
Neutro,174,-0.6524456745781076,-1.4203579449533543,0.0597668089501048,45.40229885057471
Leve Premio (0.5 a 1.5),129,-1.957327748413863,-1.538466146946782,0.049323564357581,34.10852713178294
Caro (1.5 a 2.5),54,-0.2452342318328337,0.5973309823080308,0.0438094340427321,51.85185185185185
Muito Caro (>2.5),14,0.4222467198669667,0.1529049443478869,0.021645551917206,57.14285714285714
Muito Barato (<-2.5),4,6.477254425913112,7.385524393038068,0.1001868117338295,75.0
Barato (-2.5 a -1.5),147,0.4927310587677417,0.2458485227730289,0.0551026655248647,50.34013605442177
Leve Desc (-1.5 a -0.5),461,-0.5348164348846319,-0.7060939363032648,0.0632311012375445,44.46854663774403
Neutro,169,1.006914680380109,1.0563285689916269,0.0680778462091285,54.4378698224852
Leve Premio (0.5 a 1.5),82,-1.936777720770257,-2.046196451052684,0.0727768862509138,37.34939759036144
Caro (1.5 a 2.5),32,-1.2781599567465238,-0.7466825773108976,0.0660861155708509,41.66666666666667
Muito Caro (>2.5),24,2.79673123789077,2.368082284821849,0.0367557384363188,66.66666666666666
Muito Barato (<-2.5),19,3.641696910450882,0.0,0.1730071363740312,47.368421052631575
Barato (-2.5 a -1.5),100,1.5770644195479893,0.6328155447635764,0.1165461127331268,53.0
Leve Desc (-1.5 a -0.5),422,-1.0510498385303697,-2.1333464692629702,0.0933336448988358,40.99526066350711
Neutro,174,-1.1409791118632366,-1.7586154812870791,0.0893714026123441,40.22346368715084
Leve Premio (0.5 a 1.5),145,0.3648943445975882,1.351350045186761,0.0707045699480675,60.689655172413794
Caro (1.5 a 2.5),57,-3.1489144291710263,-3.9999961853027344,0.0829700957119154,29.82456140350877
Muito Caro (>2.5),2,-7.161303470366004,-7.161303470366004,0.0261852106033563,0.0
Muito Barato (<-2.5),7,0.8972604982596222,1.1551106810674838,0.0218047012907434,71.42857142857143
Barato (-2.5 a -1.5),57,0.1086707473612886,0.2194557238432759,0.0255459119119024,54.38596491228071
Leve Desc (-1.5 a -0.5),62,0.9527173815675344,0.8140162399021489,0.0323366394852721,59.67741935483871
Neutro,235,0.8446409695830011,0.4728059090173708,0.0287676662330137,59.14893617021277
Leve Premio (0.5 a 1.5),331,0.7241799036110215,0.4659952494680874,0.0352869303091079,56.49546827794561
Caro (1.5 a 2.5),180,0.2702818805243271,0.4915381808824004,0.0367922520496983,53.888888888888886
Muito Caro (>2.5),47,0.1928996129414541,0.5458442288839738,0.0322567821374625,50.0
Muito Barato (<-2.5),7,-1.2504781747112352,-2.0651237084981844,0.071665238477499,14.285714285714285
Barato (-2.5 a -1.5),84,0.2825169838717031,0.1370980311795056,0.0403095393285527,51.19047619047619
Leve Desc (-1.5 a -0.5),132,1.0079922081274757,0.7766986239133966,0.0573057328317978,56.81818181818182
Neutro,144,0.3991141810988631,0.5428623647994457,0.0536918805336446,53.47222222222222
Leve Premio (0.5 a 1.5),295,0.4798573552451872,0.9496408052766192,0.0562256480854491,55.59322033898305
Caro (1.5 a 2.5),215,1.094697111331511,1.0547147509794907,0.046741348211489,57.27272727272727
Muito Caro (>2.5),42,0.7690894168327358,0.9529374685004032,0.0406132017017436,57.14285714285714
Muito Barato (<-2.5),4,2.008747424255028,1.079587737191573,0.0377951614863694,50.0
Barato (-2.5 a -1.5),20,0.142630674968478,2.7708688234397982,0.0599709930857431,60.0
Leve Desc (-1.5 a -0.5),44,3.3468625609012466,3.5740564306751987,0.0407081981405778,79.54545454545455
Neutro,116,2.331760538946541,2.1025416703978617,0.0499896220576349,66.37931034482759
Leve Premio (0.5 a 1.5),288,0.8070980172403732,1.100324625059612,0.0522059315493548,59.72222222222222
Caro (1.5 a 2.5),399,0.8897909499080984,1.1888401367865509,0.046424215799531,57.67326732673267
Muito Caro (>2.5),48,-0.1210240243413189,-0.3586058757485244,0.0386459902873191,41.66666666666667
Muito Barato (<-2.5),22,-1.968598122895707,-2.18063971917089,0.0636926922077269,36.36363636363637
Barato (-2.5 a -1.5),121,-0.7521339184738388,-1.3452943502036518,0.0663320679337067,38.01652892561984
Leve Desc (-1.5 a -0.5),188,-0.4955422958744384,-0.4404806734587763,0.0721866814590373,45.21276595744681
Neutro,123,-1.324767558364042,-0.8849504464858771,0.0599853123664139,41.46341463414634
Leve Premio (0.5 a 1.5),242,2.064434687073217,1.661472104484718,0.0570141119849608,59.09090909090909
Caro (1.5 a 2.5),207,1.522750512750403,0.3906254570329448,0.0578180191887104,51.886792452830186
Muito Caro (>2.5),16,-2.1682283428868168,-3.597909513849324,0.0555857623556032,31.25
Muito Barato (<-2.5),12,-0.9955086640905766,-0.4767088383156814,0.026326938372105,41.66666666666667
Barato (-2.5 a -1.5),55,0.6988381958229419,0.629886326220741,0.0229607276379129,63.63636363636363
Leve Desc (-1.5 a -0.5),140,-0.1922769978437281,-0.006444422701296,0.0251648738646458,49.28571428571429
Neutro,185,0.2960651625203523,0.2895167762005046,0.0259168387514399,54.054054054054056
Leve Premio (0.5 a 1.5),269,0.3687736435148521,0.1426096558526435,0.0279779370734183,51.09489051094891
Caro (1.5 a 2.5),223,0.1688777907695005,0.0,0.0240390819579173,49.775784753363226
Muito Caro (>2.5),35,-1.7311936972120323,-0.6553714353165097,0.0396227436430862,34.285714285714285
Muito Barato (<-2.5),15,-1.3387804344514114,-2.36868360151391,0.0332125499686302,26.666666666666668
Barato (-2.5 a -1.5),81,0.4892409301677827,-0.3071401945615726,0.0403293389409035,46.913580246913575
Leve Desc (-1.5 a -0.5),160,0.4366199985123755,-0.0685972620528718,0.0421720363362994,48.125
Neutro,214,0.4754222658936278,-0.3548380561357089,0.0457191564790106,47.19626168224299
Leve Premio (0.5 a 1.5),229,0.054446463427933,0.0,0.031114519888969,49.78165938864629
Caro (1.5 a 2.5),162,0.4891865109818376,0.5273319164301626,0.0351668142942278,55.08982035928144
Muito Caro (>2.5),57,1.2049119840674611,1.4880964296190458,0.035419970904511,64.91228070175438
Muito Barato (<-2.5),13,-0.7526913374776478,-1.775446466457864,0.0273242727199106,23.07692307692308
Barato (-2.5 a -1.5),66,0.2431354722894606,-0.200278880737792,0.0388833380152802,48.48484848484848
Leve Desc (-1.5 a -0.5),123,0.9742028017555532,-0.2708731483862525,0.0510383920399568,47.15447154471545
Neutro,208,0.2778246164582005,-0.3480015765440769,0.0334246615220698,45.67307692307692
Leve Premio (0.5 a 1.5),251,0.3543635815704385,0.3293428024149447,0.0351857175677638,54.581673306772906
Caro (1.5 a 2.5),186,0.4127340908153917,0.2086152244386019,0.0320331760646612,51.30890052356021
Muito Caro (>2.5),71,1.1982952417081811,1.498122887216513,0.0361595892846617,63.38028169014085
Muito Barato (<-2.5),11,3.060067677903637,2.819374348365744,0.0312702504344775,81.81818181818183
Barato (-2.5 a -1.5),31,2.346865472264584,3.598974002136446,0.0497467710007539,64.51612903225806
Leve Desc (-1.5 a -0.5),82,2.3225557145385616,3.3053388913816595,0.0583926617910211,70.73170731707317
Neutro,216,1.8157169435048583,1.5978925257954968,0.0571350897058339,62.03703703703704
Leve Premio (0.5 a 1.5),312,1.1755903082982249,0.9540989756442352,0.0600997336502308,59.93589743589743
Caro (1.5 a 2.5),239,0.177048237481417,-0.1797036288354814,0.0508531613345002,47.950819672131146
Muito Caro (>2.5),27,-0.8991339301650574,-1.370376035863441,0.061282488537542,48.14814814814815
Muito Barato (<-2.5),17,-0.0678510751793514,-0.4942373799000865,0.0352789291040536,47.05882352941176
Barato (-2.5 a -1.5),100,-0.5288854139784079,-0.615532802699198,0.0443245449633152,38.0
Leve Desc (-1.5 a -0.5),132,0.0910095218688133,0.0,0.0406972439535814,47.72727272727273
Neutro,193,0.276906565487905,-0.0781878726478724,0.0359948256721878,49.22279792746114
Leve Premio (0.5 a 1.5),248,0.457915934636278,0.4255813475077863,0.0367156144784755,52.41935483870967
