Ticker,Preco,Entropy_Atual,Entropy_Media,Entropy_Z,Vol_Diaria_Atual,VolVol_Z,Hurst_Z,Estado
GGBR4.SA,19.100000381469727,2.4086949695628417,2.7632801611433315,-1.8217697779910067,1.0932714772624659,-0.5168469409967246,-1.6737995681302482,ESTÁVEL (Oportunidade)
ALOS3.SA,27.239999771118164,2.433206219346495,2.75516127212024,-1.739790814897172,2.587908263627249,1.0664247195188674,1.148082993357712,ESTÁVEL (Oportunidade)
BRKM5.SA,7.880000114440918,2.295461844238322,2.6944032351679317,-1.7386175866164002,4.786056018993794,-0.6641443054272552,-0.6648819465744208,ESTÁVEL (Oportunidade)
EZTC3.SA,19.3799991607666,2.2854752972273342,2.781934772539023,-1.7171309119820024,2.385389106191466,-1.3464836453348115,-0.5885602460923987,ESTÁVEL (Oportunidade)
ITUB4.SA,41.2599983215332,2.360964047443681,2.7550002846142374,-1.6434756712665988,1.6987830454179818,0.396752462146649,-1.324280551626672,ESTÁVEL (Oportunidade)
GOAU4.SA,11.119999885559082,2.463865121950854,2.8261500993874735,-1.6361493851142725,1.238743923116541,-0.43322310900812155,-1.865661367582458,ESTÁVEL (Oportunidade)
COGN3.SA,3.690000057220459,2.4659573209491747,2.815271935994892,-1.5471987146174682,3.670941687364912,-2.0575580917190996,0.23849860018908306,ESTÁVEL (Oportunidade)
ENGI11.SA,48.45000076293945,2.6232196723355075,2.868334133190789,-1.5288778469471451,1.9690377483726158,-0.12755361495505527,-0.5297457342435903,ESTÁVEL (Oportunidade)
USIM5.SA,5.650000095367432,2.4232196723355073,2.7769579115498235,-1.489132737148929,2.668746529266208,-1.3601227248058285,0.7352372912283026,NORMAL
ELET6.SA,66.86000061035156,2.363865121950854,2.7460612849653607,-1.46698199810933,1.5675941976361678,1.2627531466235804,-0.5471339882069812,NORMAL
AURE3.SA,12.199999809265137,2.565957320949175,2.9021511875097272,-1.4608455284046078,2.294971968079612,-0.6133666058704653,-1.192912968597735,NORMAL
BPAC11.SA,52.41999816894531,2.3282129458410017,2.8077368094818738,-1.4561781825802713,2.355574597444411,0.9872272933833509,-0.0013041971105603497,NORMAL
SMFT3.SA,25.049999237060547,2.4659573209491747,2.7993118672159034,-1.3851536398994924,2.8301143271469265,-0.9223442614039934,0.14855690596253057,NORMAL
PETR4.SA,31.3700008392334,2.323219672335508,2.7179948988520986,-1.3750160030426872,1.5911598481054994,-0.5219557451255556,0.9259665761910064,NORMAL
ENEV3.SA,19.850000381469727,2.7232196723355075,2.92583146340148,-1.3576071481252554,1.9266651225527387,-0.26585502934979544,0.042491818159809326,NORMAL
RENT3.SA,45.93000030517578,2.5954618442383213,2.8471348703112302,-1.2493186998616688,2.946068032429247,-0.6981781389809033,0.8523425957803804,NORMAL
MGLU3.SA,10.510000228881836,2.639353872167201,2.8734001000368927,-1.1701561237832516,3.9731805060081995,-0.9327881640210732,2.0613736779272576,NORMAL
RDOR3.SA,44.099998474121094,2.528212945841001,2.825557545239834,-1.0760472822255707,2.343999413208431,-0.3481986266500134,0.00024508653450690905,NORMAL
ASAI3.SA,8.569999694824219,2.7232196723355075,2.875076835064015,-0.9849287642040542,3.8878105291194323,0.6293567018270888,1.3748420822879492,NORMAL
MRVE3.SA,8.470000267028809,2.5232196723355074,2.7217051371956003,-0.9700631421836571,2.9491149624132587,-0.9379033010395744,0.4510443448741937,NORMAL
LREN3.SA,13.880000114440918,2.584183719779189,2.8027643274208134,-0.960636197724314,2.663690516671413,-1.1964108832076683,1.1561955045926697,NORMAL
ELET3.SA,63.099998474121094,2.6037016960573487,2.820145707949932,-0.906530845537538,1.821511731330634,0.0013711069205180196,-0.40304240408214687,NORMAL
SANB11.SA,33.16999816894531,2.560964047443681,2.7790504898267323,-0.8934991803774069,1.5070878713264833,-0.7457793548290368,0.8802691677847411,NORMAL
CPLE6.SA,14.260000228881836,2.723219672335508,2.863057191019895,-0.8132343432740885,0.9986486121810276,0.4182758434918841,3.042153150661043,NORMAL
CSAN3.SA,6.090000152587891,2.684183719779189,2.848189073272604,-0.6687193509094935,3.4112977420947668,-0.14101226696459873,1.1092743712047033,NORMAL
BBDC4.SA,18.1200008392334,2.5016094970590275,2.742546407607928,-0.663295733187064,1.9256800588241196,0.08344239796164538,-1.28958150012355,NORMAL
RAIZ4.SA,0.8299999833106995,2.584183719779189,2.7257154425273855,-0.6401875489018863,2.90433219602727,-1.036368257125899,1.356326679602026,NORMAL
CVCB3.SA,1.899999976158142,2.7016094970590276,2.8237183871412594,-0.6305421455407915,5.051580555998898,-1.0393479807628543,0.13228937132507845,NORMAL
BBDC3.SA,15.579999923706055,2.546439344671015,2.7551806167108808,-0.6258294024660357,1.7488678461807377,-0.8671869604451458,-0.8132101599740357,NORMAL
BBAS3.SA,21.15999984741211,2.528212945841002,2.7595667282856358,-0.6216300242785819,2.1972282443774764,0.6610559284767022,-0.43715916562618273,NORMAL
SLCE3.SA,16.34000015258789,2.6282129458410015,2.794560245000516,-0.5914671994635056,1.457875299335018,-1.176679743737657,-0.7405256857649704,NORMAL
CXSE3.SA,15.890000343322754,2.765957320949175,2.8909915349221893,-0.5773481542608612,1.289866959307738,-0.20402406196842143,-0.5433215772609106,NORMAL
IRBR3.SA,47.84000015258789,2.6232196723355075,2.7934476653077778,-0.499082689124732,2.038030641382437,-0.44369318287267684,0.9460885682475804,NORMAL
ABEV3.SA,13.609999656677246,2.660964047443681,2.789658737958658,-0.489883863071979,1.273932643839834,-0.6028534236318257,0.6424779817860204,NORMAL
CMIN3.SA,5.440000057220459,2.6638651219508542,2.7495263025834804,-0.44427056126371,2.303895428715903,0.8141286094947121,-1.1729280216747158,NORMAL
FLRY3.SA,14.489999771118164,2.608694969562842,2.720094453916808,-0.2811836651683273,2.134144563375547,-0.2862215054595516,2.055282784120292,NORMAL
B3SA3.SA,14.010000228881836,2.6659573209491745,2.7258085251135724,-0.26627883547907266,2.4503558966132446,0.05831232793840901,-0.9040888664060863,NORMAL
EGIE3.SA,29.639999389648438,2.765957320949175,2.8190562325980424,-0.21613601088819212,1.881341440004089,1.601263891600704,0.3508423588884949,NORMAL
PETR3.SA,32.84000015258789,2.6588718484453606,2.7238180597204504,-0.2060317190498166,1.9407441621101986,-1.0730513928910947,0.5305006245570146,NORMAL
CPFE3.SA,48.54999923706055,2.808694969562842,2.843860719456623,-0.17769585038043498,1.4466926086710876,-0.3438039660324874,-0.5345317837068679,NORMAL
PRIO3.SA,39.2599983215332,2.7841837197791888,2.805250444563811,-0.09909269257775871,1.6228385669163101,0.026236303806794994,1.4546144161134524,NORMAL
SBSP3.SA,137.4199981689453,2.8086949695628425,2.828162724204535,-0.08468052698512239,1.8055542875898654,0.7200248517682812,0.4246059370726248,NORMAL
VIVT3.SA,33.380001068115234,2.733206219346495,2.751714509607275,-0.07043158462054534,1.816991387513591,-0.37289714926439793,-0.5937590816597418,NORMAL
VALE3.SA,70.22000122070312,2.7414460711655217,2.7467783996345774,-0.027265507472093595,1.1905266406835755,0.8426990471057334,-0.7965668300847946,NORMAL
AZUL4.SA,1.0,2.739353872167201,2.720530111143578,0.10142874232940599,4.702921073139182,-1.0337638289610966,0.8698051322126206,NORMAL
UGPA3.SA,21.8700008392334,2.8282129458410017,2.802577980214804,0.1085902277589796,2.666015350922109,-0.4894904574152842,-0.24554708509852025,NORMAL
CMIG4.SA,11.079999923706055,2.9037016960573485,2.837228173936183,0.3177964050369632,2.1477002280586945,-0.2092558347148893,0.37635633168258315,NORMAL
BBSE3.SA,34.5,2.8464393446710154,2.7548500220297365,0.342196540599359,1.2547241829635072,1.397858942236053,-1.7044388215928892,NORMAL
RECV3.SA,10.850000381469727,2.946439344671015,2.8819230719132003,0.3481972914504648,2.438911624263652,-0.9547486021768229,1.973553733285845,NORMAL
TIMS3.SA,23.270000457763672,2.8037016960573484,2.7226407852706505,0.36846098670093724,1.536363653327635,0.0368985255920419,-0.8117972733372031,NORMAL
BRAP4.SA,20.1299991607666,2.9219280948873623,2.8356489194431886,0.4097656345942006,1.3665633332223581,-0.4276243779918268,-1.4404097872010622,NORMAL
RADL3.SA,22.8799991607666,2.908694969562842,2.756775187988439,0.48885858622796824,2.2294126582717886,-0.10673444867612737,0.9606270641771975,NORMAL
WEGE3.SA,46.70000076293945,2.8464393446710154,2.632015620264747,0.7224244952738833,1.5743544275826447,1.2328993708184854,0.7336809803579365,NORMAL
EMBR3.SA,84.37000274658203,2.965957320949175,2.721641597319448,0.7455553882887088,1.710482842013011,-0.5746578398266805,-1.5376250693438476,NORMAL
BEEF3.SA,6.139999866485596,3.084183719779189,2.786765889849947,1.2142565851175322,2.358783854273322,-1.212468617427555,-0.6239273989128687,NORMAL
KLBN11.SA,18.649999618530273,3.0464393446710156,2.8495486668681957,1.25489002438472,1.1802108209970938,-0.8833466159787755,-0.08942834538817443,NORMAL
CSNA3.SA,8.90999984741211,3.0659573209491744,2.740595964425471,1.274116700239559,2.611665512187315,-0.36320716240403517,-1.5942587151665726,NORMAL
SUZB3.SA,50.5,3.065957320949175,2.6688126611898317,1.7526297476226878,1.415300832667353,-0.47719110177076113,-0.5568654809628658,NORMAL
PCAR3.SA,3.8299999237060547,3.184183719779189,2.7145033152499622,1.948071672840252,2.3134385150266126,-0.7753799889270742,0.2037330941193748,NORMAL
