Ticker,Best BB Dev,Sharpe Medio,Sharpe Std Dev,Pct Parametros Positivos (%),Fator de Estabilidade,Num Parametros Testados
AZUL4.SA,"(np.int64(200), np.float64(0.7999999999999998))",0.2060,0.1691,92.3077,1.2185,13
CPLE6.SA,"(np.int64(200), np.float64(0.7))",0.1228,0.1080,92.3077,1.1373,13
ITSA4.SA,"(np.int64(200), np.float64(0.7499999999999998))",0.1941,0.1841,84.6154,1.0544,13
BBAS3.SA,"(np.int64(200), np.float64(0.7499999999999998))",0.1980,0.1934,76.9231,1.0238,13
BRKM5.SA,"(np.int64(200), np.float64(0.5499999999999999))",0.1200,0.1210,92.3077,0.9918,13
SMFT3.SA,"(np.int64(200), np.float64(0.39999999999999997))",0.3183,0.3422,84.6154,0.9303,13
B3SA3.SA,"(np.int64(200), np.float64(0.7499999999999998))",0.0873,0.0953,76.9231,0.9161,13
ADA-USD,"(np.int64(200), np.float64(0.5499999999999999))",0.1072,0.1187,69.2308,0.9032,13
EURCAD=X,"(np.int64(200), np.float64(0.6499999999999999))",0.0551,0.0713,61.5385,0.7717,13
BTC-USD,"(np.int64(200), np.float64(0.6499999999999999))",0.1688,0.2198,76.9231,0.7681,13
BPAC11.SA,"(np.int64(200), np.float64(0.7))",0.2844,0.3704,69.2308,0.7677,13
SANB11.SA,"(np.int64(200), np.float64(0.25))",0.0943,0.1263,61.5385,0.7466,13
AUDJPY=X,"(np.int64(200), np.float64(0.2))",0.0821,0.1121,84.6154,0.7324,13
TIMS3.SA,"(np.int64(200), np.float64(0.7499999999999998))",0.0543,0.0773,76.9231,0.7018,13
VBBR3.SA,"(np.int64(200), np.float64(0.49999999999999994))",0.0696,0.0999,84.6154,0.6967,13
PYPL,"(np.int64(200), np.float64(0.2))",0.1068,0.1749,69.2308,0.6110,13
ECOR3.SA,"(np.int64(200), np.float64(0.5499999999999999))",0.1206,0.2017,76.9231,0.5977,13
ASAI3.SA,"(np.int64(200), np.float64(0.5999999999999999))",0.2359,0.4122,46.1538,0.5722,13
TOTS3.SA,"(np.int64(200), np.float64(0.6499999999999999))",0.1177,0.2095,76.9231,0.5619,13
TSLA,"(np.int64(200), np.float64(0.7999999999999998))",0.0657,0.1311,69.2308,0.5011,13
ELET6.SA,"(np.int64(200), np.float64(0.6499999999999999))",0.0654,0.1524,53.8462,0.4293,13
TXN,"(np.int64(200), np.float64(0.2))",0.0400,0.1002,46.1538,0.3991,13
KLBN11.SA,"(np.int64(200), np.float64(0.7999999999999998))",0.0545,0.1509,76.9231,0.3611,13
MATIC-USD,"(np.int64(200), np.float64(0.25))",0.0643,0.1941,61.5385,0.3315,13
IGTI11.SA,"(np.int64(200), np.float64(0.7))",0.1143,0.3507,45.4545,0.3257,11
USDBRL=X,"(np.int64(200), np.float64(0.25))",0.0098,0.0673,53.8462,0.1459,13
IRBR3.SA,"(np.int64(200), np.float64(0.5499999999999999))",-0.0160,0.1240,46.1538,-0.1289,13
RDOR3.SA,"(np.int64(200), np.float64(0.39999999999999997))",-0.0397,0.2109,38.4615,-0.1882,13
USIM5.SA,"(np.int64(200), np.float64(0.5999999999999999))",-0.0330,0.1045,46.1538,-0.3156,13
AVAX-USD,"(np.int64(200), np.float64(0.2))",-0.0648,0.1797,46.1538,-0.3608,13
SLCE3.SA,"(np.int64(200), np.float64(0.7499999999999998))",-0.0889,0.2236,38.4615,-0.3976,13
BRAP4.SA,"(np.int64(200), np.float64(0.6499999999999999))",-0.0933,0.2343,53.8462,-0.3982,13
BEEF3.SA,"(np.int64(200), np.float64(0.7499999999999998))",-0.0635,0.1376,30.7692,-0.4618,13
ELET3.SA,"(np.int64(200), np.float64(0.6499999999999999))",-0.0517,0.0946,38.4615,-0.5470,13
RECV3.SA,"(np.int64(200), np.float64(0.7499999999999998))",-0.2961,0.5201,46.1538,-0.5693,13
BBDC4.SA,"(np.int64(200), np.float64(0.5499999999999999))",-0.1041,0.1649,30.7692,-0.6312,13
USDJPY=X,"(np.int64(200), np.float64(0.35))",-0.0776,0.1199,38.4615,-0.6476,13
QCOM,"(np.int64(200), np.float64(0.6499999999999999))",-0.0437,0.0622,30.7692,-0.7025,13
DIRR3.SA,"(np.int64(200), np.float64(0.7999999999999998))",-0.2393,0.3004,38.4615,-0.7968,13
YDUQ3.SA,"(np.int64(200), np.float64(0.5999999999999999))",-0.0808,0.0818,23.0769,-0.9881,13
EURUSD=X,"(np.int64(200), np.float64(0.7))",-0.0963,0.0868,15.3846,-1.1085,13
MGLU3.SA,"(np.int64(200), np.float64(0.7999999999999998))",-0.2737,0.2407,15.3846,-1.1370,13
^TNX,"(np.int64(200), np.float64(0.7999999999999998))",-0.0841,0.0656,7.6923,-1.2812,13
EURAUD=X,"(np.int64(200), np.float64(0.7499999999999998))",-0.1088,0.0811,7.6923,-1.3409,13
SUZB3.SA,"(np.int64(200), np.float64(0.5499999999999999))",-0.3678,0.2586,0.0000,-1.4220,13
