z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate
Muito Barato (<-2.5),15,3.5303094349289235,3.9857088334795066,0.05364377911634,73.33333333333333
Barato (-2.5 a -1.5),95,1.0919772941358226,0.7220257346459036,0.0526976848691503,54.736842105263165
Leve Desc (-1.5 a -0.5),156,1.392273344231135,0.2164678699974387,0.0657691019442164,51.92307692307693
Neutro,117,-1.6418290089053829,-2.292286540200139,0.0722178090045483,38.46153846153847
Leve Premio (0.5 a 1.5),221,1.959716213048986,1.739936351421889,0.0615782430056346,57.9185520361991
Caro (1.5 a 2.5),281,1.255334281398827,1.4430511530781898,0.0516688069362231,59.106529209622
Muito Caro (>2.5),29,2.140931597142372,4.025012057822197,0.0636450384239467,75.86206896551724
Muito Barato (<-2.5),2,4.392728575791393,4.392728575791393,0.0220797129194294,100.0
Barato (-2.5 a -1.5),126,-0.3160960029954081,-0.5705236588393947,0.0504239412191894,42.85714285714285
Leve Desc (-1.5 a -0.5),358,0.1779097561812212,-0.7015212640928137,0.0581265614170349,47.48603351955308
Neutro,193,-0.3284499899379214,-0.5639066426748718,0.0542162777871339,43.52331606217616
Leve Premio (0.5 a 1.5),128,-0.1993522765038217,0.8307486044950685,0.0506349673545163,53.90625
Caro (1.5 a 2.5),82,0.7764770758334912,1.34149907314578,0.0522412199428186,64.63414634146342
Muito Caro (>2.5),25,5.83333312915035,6.2332667300442735,0.034985694454279,65.71428571428571
Muito Barato (<-2.5),9,7.022682285081566,3.264090353762783,0.1079686214875589,66.66666666666666
Barato (-2.5 a -1.5),237,2.6144046687582345,-0.0938899114148461,0.1095431405480864,49.36708860759494
Leve Desc (-1.5 a -0.5),374,-2.5876034282447997,-3.975603289442753,0.101771535273774,33.59375
Neutro,159,-4.990955097722417,-5.938242495511615,0.0814512977600138,20.75471698113208
Leve Premio (0.5 a 1.5),74,1.6793125653999492,-2.6116968118383044,0.1368056716038135,39.18918918918919
Caro (1.5 a 2.5),56,-3.573685641207724,-4.8034472854629975,0.0907861439849363,25.0
Muito Caro (>2.5),5,-1.655808537203074,-2.05531068649083,0.0945117727568392,20.0
Muito Barato (<-2.5),6,5.050704950963556,4.718789322924821,0.0455965225047954,83.33333333333334
Barato (-2.5 a -1.5),37,3.350633807483381,2.566615352067081,0.0494517917521671,78.37837837837837
Leve Desc (-1.5 a -0.5),103,3.3026439934027643,3.409093971781596,0.0543706074535646,66.99029126213593
Neutro,116,2.419095795475526,2.779710830925397,0.0484351588984233,67.24137931034483
Leve Premio (0.5 a 1.5),339,0.3635133707026841,0.506874433379001,0.0459944226545206,54.33526011560693
Caro (1.5 a 2.5),265,-0.0051833081049073,-0.3064931881082255,0.0454317410237006,44.776119402985074
Muito Caro (>2.5),48,-1.59995934280242,-1.8735898260897168,0.0411081930106592,37.5
Muito Barato (<-2.5),7,1.2173904411425138,-3.308858283677496,0.1051126190634043,42.85714285714285
Barato (-2.5 a -1.5),55,-0.9212009368400644,-1.5850210637019413,0.0824535406456016,41.81818181818181
Leve Desc (-1.5 a -0.5),279,1.0866170279587275,0.2028598224193212,0.0764971836931665,50.53763440860215
Neutro,245,0.859776261180209,0.9560336309662354,0.0748153504698203,53.46938775510204
Leve Premio (0.5 a 1.5),201,0.3040775531907897,0.866554945523812,0.0844030949512116,52.60663507109005
Caro (1.5 a 2.5),77,-0.6817659658363643,-1.8315022776203893,0.0914843962565825,40.25974025974026
Muito Caro (>2.5),50,6.840951701291563,5.581484008375137,0.1068065711909345,74.0
Muito Barato (<-2.5),6,2.936767539208296,2.2577308528770104,0.1446667001459532,50.0
