ticker,regime,return,win,reason,days_held,date_entry,date_exit,hurst_entrada,entropy_entrada,halflife_entrada,sinal_tipo,phase,window
BBDC4.SA,BEAR_CALM,0.03905868005429456,1,END_CLOSED,3,2023-10-03,2023-10-06,-1.5109882174411706,0.036815743509642694,27.500099994096423,PRICE,TRAIN,2023-04-08_2023-10-08
BEEF3.SA,BEAR_CALM,-0.05843908390750021,0,HARD_STOP,2,2023-08-29,2023-08-31,-1.2325883687964254,-3.4328562467928077,3.563825350053475,PRICE,TRAIN,2023-04-08_2023-10-08
BEEF3.SA,BEAR_VOLATILE,-0.03858325149671717,0,TIME_STOP,11,2023-09-11,2023-09-22,-0.48629369527572425,-2.8531348833908283,6.566216180055075,PRICE,TRAIN,2023-04-08_2023-10-08
BEEF3.SA,BEAR_CALM,-0.003653926996988209,0,END_CLOSED,9,2023-09-27,2023-10-06,-0.22279950703256488,-0.14877731405981048,14.688107472053689,PRICE,TRAIN,2023-04-08_2023-10-08
BRKM5.SA,SIDEWAYS_CALM,-0.03037549873941594,0,TIME_STOP,12,2023-08-04,2023-08-16,-0.2366499599182471,0.6912493155348995,16.962091969405748,PRICE,TRAIN,2023-04-08_2023-10-08
BRKM5.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,1,2023-08-28,2023-08-29,0.7029745666150946,-0.9110028629767563,21.482089432486628,PRICE,TRAIN,2023-04-08_2023-10-08
BRKM5.SA,BEAR_CALM,-0.02955619841834569,0,TIME_STOP,11,2023-09-04,2023-09-15,1.3217599371769637,-0.16238384460692062,29.703697534234177,PRICE,TRAIN,2023-04-08_2023-10-08
BRKM5.SA,BEAR_CALM,-0.07036820201615027,0,HARD_STOP,2,2023-09-20,2023-09-22,0.5552568859119998,0.4106338536672692,9.040821129758648,PRICE,TRAIN,2023-04-08_2023-10-08
BRKM5.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,8,2023-09-27,2023-10-05,-1.9972526667294002,-0.12540650729225622,9.267714707528864,PRICE,TRAIN,2023-04-08_2023-10-08
CSNA3.SA,BEAR_CALM,-0.01885656624514411,0,TIME_STOP,11,2023-08-11,2023-08-22,-0.8072776671962065,-1.5706563031229122,3.27637043015448,PRICE,TRAIN,2023-04-08_2023-10-08
CVCB3.SA,BEAR_CALM,-0.10749920668563254,0,HARD_STOP,8,2023-08-17,2023-08-25,1.1897173196951651,-1.6313601296336193,16.94057502775337,PRICE,TRAIN,2023-04-08_2023-10-08
CVCB3.SA,BEAR_CALM,-0.06624068428844845,0,HARD_STOP,3,2023-09-12,2023-09-15,0.9695605560368887,-0.6908710729637637,10.17262330350076,PRICE,TRAIN,2023-04-08_2023-10-08
